"","Subject","Day","Treatment","Obs"
"1",13,"Day1","B",6.472687
"2",14,"Day1","B",7.01711
"3",15,"Day1","B",6.200715
"4",16,"Day1","B",6.613928
"5",17,"Day1","A",6.829968
"6",18,"Day1","A",7.387583
"7",19,"Day1","A",7.367293
"8",20,"Day1","A",8.018853
"9",21,"Day1","C",7.527408
"10",22,"Day1","C",6.746739
"11",23,"Day1","C",7.29691
"12",24,"Day1","C",6.98336
"13",29,"Day1","B",6.816621
"14",30,"Day1","B",6.571689
"15",31,"Day1","B",5.911261
"16",32,"Day1","B",6.954988
"17",33,"Day1","C",7.624122
"18",34,"Day1","C",7.669865
"19",35,"Day1","C",7.676225
"20",36,"Day1","C",7.263593
"21",37,"Day1","A",7.704737
"22",38,"Day1","A",7.328716
"23",39,"Day1","A",7.29561
"24",40,"Day1","A",5.96418
"25",62,"Day1","A",6.880814
"26",63,"Day1","A",6.926342
"27",64,"Day1","A",6.926342
"28",65,"Day1","A",7.562293
"29",13,"Day3","B",6.677607
"30",14,"Day3","B",7.023526
"31",15,"Day3","B",6.441864
"32",16,"Day3","B",7.020875
"33",17,"Day3","A",7.478931
"34",18,"Day3","A",7.495336
"35",19,"Day3","A",7.427709
"36",20,"Day3","A",7.63302
"37",21,"Day3","C",7.382091
"38",22,"Day3","C",7.359731
"39",23,"Day3","C",7.285889
"40",24,"Day3","C",7.496863
"41",29,"Day3","B",6.632403
"42",30,"Day3","B",6.171196
"43",31,"Day3","B",6.306012
"44",32,"Day3","B",7.253833
"45",33,"Day3","C",7.594852
"46",34,"Day3","C",6.915225
"47",35,"Day3","C",7.220147
"48",36,"Day3","C",7.298227
"49",37,"Day3","A",7.573612
"50",38,"Day3","A",7.36655
"51",39,"Day3","A",7.560513
"52",40,"Day3","A",7.289078
"53",62,"Day3","A",7.287802
"54",63,"Day3","A",7.155336
"55",64,"Day3","A",7.394452
"56",65,"Day3","A",7.465383
"57",13,"Day6","B",6.976048
"58",14,"Day6","B",7.222966
"59",15,"Day6","B",6.584153
"60",16,"Day6","B",7.013223
"61",17,"Day6","A",7.569905
"62",18,"Day6","A",7.459185
"63",19,"Day6","A",7.504068
"64",20,"Day6","A",7.801867
"65",21,"Day6","C",7.598728
"66",22,"Day6","C",7.475841
"67",23,"Day6","C",7.511873
"68",24,"Day6","C",7.518384
"69",29,"Day6","B",6.618589
"70",30,"Day6","B",5.854754
"71",31,"Day6","B",6.125749
"72",32,"Day6","B",6.96272
"73",33,"Day6","C",7.5406
"74",34,"Day6","C",7.379861
"75",35,"Day6","C",7.344189
"76",36,"Day6","C",7.362815
"77",37,"Day6","A",7.805802
"78",38,"Day6","A",7.764172
"79",39,"Day6","A",7.789844
"80",40,"Day6","A",7.616437
"81",62,"Day6","A",NA
"82",63,"Day6","A",NA
"83",64,"Day6","A",NA
"84",65,"Day6","A",NA
